row_id,row_id_matched.x,participant,file,trial_index.x,trial_index.y,trial_index_matched,prop_correct.x,effort.x,reliability_index.x,reliability_index_n,reliability_index_play.x,reliability_effort_difference,row_id_matched.y,prop_correct.y,effort.y,reliability_index.y,reliability_index_play.y,duplicate
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_3_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_3_ch2_calibrated_noise5snr.wav_153,54849ec4fdf99b0379939d1d,sim_oc17_clear_kn_h18_3_ch2_calibrated_noise5snr,151,153,153,1,5,5-1,5,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_3_ch2_calibrated_noise5snr.wav_321,1,10,5-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_5_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_5_ch2_calibrated_noise5snr.wav_231,54849ec4fdf99b0379939d1d,sim_oc17_clear_kn_h18_5_ch2_calibrated_noise5snr,229,231,231,0.8,61,7-1,7,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_5_ch2_calibrated_noise5snr.wav_351,0.6,85,7-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_6_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_6_ch2_calibrated_noise5snr.wav_249,54849ec4fdf99b0379939d1d,sim_oc17_clear_kn_h18_6_ch2_calibrated_noise5snr,247,249,249,1,0,12-1,12,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_6_ch2_calibrated_noise5snr.wav_411,1,0,12-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_9_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_9_ch2_calibrated_noise5snr.wav_183,54849ec4fdf99b0379939d1d,sim_oc17_clear_kn_h18_9_ch2_calibrated_noise5snr,181,183,183,1,33,6-1,6,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_kn_h18_9_ch2_calibrated_noise5snr.wav_363,1,28,6-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_1_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_1_ch2_calibrated_noise5snr.wav_51,54849ec4fdf99b0379939d1d,sim_oc17_clear_nm_h11_1_ch2_calibrated_noise5snr,49,51,51,0.8,53,8-1,8,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_1_ch2_calibrated_noise5snr.wav_453,1,38,8-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_7_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_7_ch2_calibrated_noise5snr.wav_339,54849ec4fdf99b0379939d1d,sim_oc17_clear_nm_h11_7_ch2_calibrated_noise5snr,337,339,339,1,4,10-1,10,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_clear_nm_h11_7_ch2_calibrated_noise5snr.wav_429,1,0,10-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav_123,54849ec4fdf99b0379939d1d,sim_oc17_habitual_kn_h10_10_ch2_calibrated_noise5snr,121,123,123,1,1,2-1,2,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_10_ch2_calibrated_noise5snr.wav_315,1,15,2-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_6_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_6_ch2_calibrated_noise5snr.wav_93,54849ec4fdf99b0379939d1d,sim_oc17_habitual_kn_h10_6_ch2_calibrated_noise5snr,91,93,93,0.8,59,3-1,3,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_kn_h10_6_ch2_calibrated_noise5snr.wav_357,0.8,65,3-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_nm_h12_2_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_nm_h12_2_ch2_calibrated_noise5snr.wav_135,54849ec4fdf99b0379939d1d,sim_oc17_habitual_nm_h12_2_ch2_calibrated_noise5snr,133,135,135,1,18,4-1,4,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_habitual_nm_h12_2_ch2_calibrated_noise5snr.wav_447,1,9,4-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_3_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_3_ch2_calibrated_noise5snr.wav_189,54849ec4fdf99b0379939d1d,sim_oc17_loud_kn_h5_3_ch2_calibrated_noise5snr,187,189,189,1,12,11-1,11,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_3_ch2_calibrated_noise5snr.wav_273,1,4,11-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_9_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_9_ch2_calibrated_noise5snr.wav_87,54849ec4fdf99b0379939d1d,sim_oc17_loud_kn_h5_9_ch2_calibrated_noise5snr,85,87,87,0.6,65,1-1,1,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_kn_h5_9_ch2_calibrated_noise5snr.wav_369,0.8,55,1-2,2,FALSE
54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_nm_h14_5_ch2_calibrated_noise5snr.wav,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_nm_h14_5_ch2_calibrated_noise5snr.wav_105,54849ec4fdf99b0379939d1d,sim_oc17_loud_nm_h14_5_ch2_calibrated_noise5snr,103,105,105,0.8,30,9-1,9,1,NA,54849ec4fdf99b0379939d1d ./audio/mask-recordings/playlist_09_oc17/sim_oc17_loud_nm_h14_5_ch2_calibrated_noise5snr.wav_405,0.8,63,9-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_clear_nm_h9_1_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_clear_nm_h9_1_ch2_calibrated_noise5snr.wav_195,54af2a48fdf99b09c01b3801,sim_pd14_clear_nm_h9_1_ch2_calibrated_noise5snr,193,195,195,1,57,2-1,2,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_clear_nm_h9_1_ch2_calibrated_noise5snr.wav_303,1,8,2-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_2_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_2_ch2_calibrated_noise5snr.wav_249,54af2a48fdf99b09c01b3801,sim_pd14_habitual_kn_h8_2_ch2_calibrated_noise5snr,247,249,249,0.4,97,3-1,3,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_2_ch2_calibrated_noise5snr.wav_417,1,38,3-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_5_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_5_ch2_calibrated_noise5snr.wav_117,54af2a48fdf99b09c01b3801,sim_pd14_habitual_kn_h8_5_ch2_calibrated_noise5snr,115,117,117,0.6,63,11-1,11,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_5_ch2_calibrated_noise5snr.wav_339,0.2,98,11-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_7_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_7_ch2_calibrated_noise5snr.wav_219,54af2a48fdf99b09c01b3801,sim_pd14_habitual_kn_h8_7_ch2_calibrated_noise5snr,217,219,219,0.2,97,8-1,8,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_kn_h8_7_ch2_calibrated_noise5snr.wav_357,0.4,92,8-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_nm_h18_5_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_nm_h18_5_ch2_calibrated_noise5snr.wav_63,54af2a48fdf99b09c01b3801,sim_pd14_habitual_nm_h18_5_ch2_calibrated_noise5snr,61,63,63,1,11,4-1,4,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_habitual_nm_h18_5_ch2_calibrated_noise5snr.wav_231,1,20,4-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_1_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_1_ch2_calibrated_noise5snr.wav_93,54af2a48fdf99b09c01b3801,sim_pd14_loud_kn_h6_1_ch2_calibrated_noise5snr,91,93,93,0.8,60,7-1,7,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_1_ch2_calibrated_noise5snr.wav_285,0.8,85,7-2,2,FALSE
